country,city_name,lon,lat,temp,pressure,humidity,wind_speed
IN,Delhi,77.2167,28.6667,26.03,1012,13,3.53
IN,Mumbai,72.8479,19.0144,27.99,1011,69,4.12
IN,Kolkata,88.3697,22.5697,27.97,1009,74,1.54
IN,Chennai,80.2785,13.0878,25.51,1009,91,4.12
IN,Bengaluru,77.6033,12.9762,23.87,1011,76,4.47
IN,Hyderabad,78.4744,17.3753,26.23,1012,57,1.54
IN,Pune,73.8553,18.5196,26.16,1012,64,1.6
IN,Ahmedabad,72.6167,23.0333,26.02,1013,41,0.0
IN,Jaipur,75.8167,26.9167,21.53,1014,19,4.05
IN,Surat,72.8333,21.1667,26.99,1012,54,3.09
IN,Lucknow,80.9167,26.85,23.54,1011,37,3.57
IN,Kanpur,80.35,26.4667,22.66,1012,43,3.51
IN,Nagpur,79.1,21.15,25.01,1011,65,0.0
IN,Indore,75.8333,22.7179,23.1,1014,40,1.54
IN,Bhopal,77.4,23.2667,22.13,1013,35,2.06
IN,Visakhapatnam,83.2093,17.69,27.94,1009,83,1.03
IN,Vadodara,73.2,22.3,26.98,1012,54,1.03
IN,Nashik,73.8,19.9833,23.82,1013,64,3.08
IN,Rajkot,70.7833,22.3,27.7,1012,39,3.27
IN,Amritsar,74.8656,31.6331,20.61,1013,22,1.98
IN,Coimbatore,76.9667,11.0,28.88,1010,58,2.57
IN,Patna,85.1167,25.6,25.96,1009,61,2.06
IN,Varanasi,83.0,25.3333,23.8,1010,46,3.34
IN,Ranchi,85.3333,23.35,20.06,1012,68,2.06
IN,Guwahati,91.751,26.1862,25.95,1009,94,0.0
IN,Chandigarh,76.7933,30.7343,19.49,1013,41,3.09
IN,Thāne,72.9667,19.2,27.95,1011,69,4.12
IN,Mysore,76.6497,12.3072,24.0,1011,64,3.09
IN,Ludhiana,75.85,30.9,21.4,1013,19,2.56
IN,Noida,77.33,28.58,26.15,1012,12,3.58
IN,Agra,78.0167,27.1833,22.78,1012,21,2.59
IN,Jammu,74.8667,32.7333,19.61,1013,25,1.63
IN,Udaipur,73.6918,24.5712,21.5,1015,38,2.84
IN,Aurangabad,75.3333,19.8833,25.05,1012,53,0.0
IN,Kolhāpur,74.2167,16.7,23.93,1011,70,2.37
